timestamp,open,high,low,close,volume
2024-04-15,194.0900,196.0000,184.7800,185.4000,2531456
2024-04-12,191.9600,193.2499,190.3500,191.6700,1801856
2024-04-11,191.5700,194.2800,190.0000,192.8800,2267301
2024-04-10,183.5000,193.8300,182.5000,191.0800,3862140
2024-04-09,192.6000,194.8400,185.0500,188.1000,1958517
2024-04-08,194.8650,197.6400,188.1100,191.9800,1663112
2024-04-05,182.3200,194.8500,181.4200,193.0800,4281656
2024-04-04,193.4400,195.5000,182.9600,183.1100,3741597
2024-04-03,188.4800,193.2100,186.8700,190.2600,2548869
2024-04-02,184.6850,188.3700,184.1200,188.1300,1873057
2024-04-01,186.0300,188.8100,183.4000,185.9800,1976139
2024-03-28,185.0300,186.8300,183.3350,184.8500,2050809
2024-03-27,188.0800,190.1200,182.3400,184.8900,2452118
2024-03-26,189.9000,198.8300,184.4800,185.4100,4228679
2024-03-25,180.0000,189.0500,179.5400,187.2600,3570578
2024-03-22,175.0000,178.3700,174.2150,178.2400,1608373
2024-03-21,177.4600,177.8100,172.3700,174.1300,2212136
2024-03-20,172.9200,176.7700,172.6509,175.7100,1969318
2024-03-19,169.0000,174.0100,168.2600,172.4100,1922186
2024-03-18,167.6900,171.0800,166.1900,168.8400,2006774
2024-03-15,164.1800,168.3900,162.6700,165.5200,4532036
2024-03-14,167.8500,168.3900,163.2700,164.6400,2899884
2024-03-13,171.2400,171.3100,166.4400,167.8600,1638687
2024-03-12,166.5700,169.0600,164.2000,168.3700,2563480
2024-03-11,170.3100,170.9600,166.4000,167.9100,2572223
2024-03-08,179.5800,179.8300,168.4600,170.5700,3196966
2024-03-07,181.7500,182.0500,176.2100,179.5800,1968527
2024-03-06,176.7700,180.8100,175.0100,179.9800,2073556
2024-03-05,177.3900,185.5800,175.4200,176.7700,4323775
2024-03-04,172.9600,177.0350,169.6200,175.9900,3818194
2024-03-01,167.0400,170.3100,165.0500,169.9900,4557632
2024-02-29,171.1800,171.3058,163.3700,168.4500,4537148
2024-02-28,158.4800,170.9800,156.5000,170.8300,8227485
2024-02-27,135.0000,156.6700,135.0000,155.7600,4888282
2024-02-26,134.6800,135.1999,132.9300,133.2200,1494701
2024-02-23,133.4900,134.1500,131.3500,133.9900,2052310
2024-02-22,132.4000,134.0600,131.6500,133.3900,1529900
